Carrier,Baseline,095,080,065,Ratio_065/Baseline,Strict_Monotonic
Raw residual RMS,0.27819030302745906,0.33371238522478347,0.7987061906182912,1.556500775963057,5.5950935709265925,True
HI_v0 Rolling RMS 24h,0.0255307965230374,0.0368661087928123,0.0927772517183126,0.1784806008068736,6.9907964150599,True
