Target,Window,Dataset,HI_mean,HI_p95,HI_p99,HIz_mean,Exceedance_P95
CT_SW_TEMP_1,6h,Baseline,0.022650568743963272,0.07092504093399112,0.10220820394768515,4.15483312285272e-17,4.999990482734729
CT_SW_TEMP_1,6h,095,0.034241817062008045,0.07940683684910488,0.11374984193121772,0.45498723395782936,7.5643224373335665
CT_SW_TEMP_1,6h,080,0.0875302464430788,0.16393280213893544,0.23830329238554235,2.54669939651292,62.775120345819346
CT_SW_TEMP_1,6h,065,0.16829691289470414,0.3414246746768441,0.5041303795421129,5.717005230407631,90.44714015695874
CT_SW_TEMP_1,12h,Baseline,0.024297732875735414,0.06669928549918494,0.09288648916971255,8.312514292234593e-17,4.999990479472792
CT_SW_TEMP_1,12h,095,0.03579347834043227,0.07294341758870942,0.10260959673596147,0.4806763745365359,7.991720949539302
CT_SW_TEMP_1,12h,080,0.09053700477458218,0.15481646718789652,0.21421191692261407,2.769690157637559,72.28307954781305
CT_SW_TEMP_1,12h,065,0.1737251301233223,0.31686006841022274,0.4428776266930979,6.248069756413561,94.41354504447038
CT_SW_TEMP_1,24h,Baseline,0.02553079652303746,0.06082696309215177,0.08380319678941894,-1.1090954994839651e-16,4.999990472942203
CT_SW_TEMP_1,24h,095,0.03686610879281239,0.06934291600526034,0.08998798114850956,0.5013280635878415,10.611427515286165
CT_SW_TEMP_1,24h,080,0.09277725171831261,0.14787324942006,0.1852947545381248,2.9741161393574234,84.37371980160854
CT_SW_TEMP_1,24h,065,0.17848060080687367,0.29473781679414296,0.37883694645801896,6.764527291604773,98.09096815866744
CT_SW_TEMP_1,48h,Baseline,0.026393449038608786,0.05842984951204934,0.08084747885582474,2.776547884542646e-17,4.9999904598541125
CT_SW_TEMP_1,48h,095,0.03749245898531191,0.06606779350097816,0.08287625363165438,0.5130655499344806,12.233138269150412
CT_SW_TEMP_1,48h,080,0.09403483640394276,0.14476939321158577,0.15842866681640702,3.126807325479965,89.89011659966305
CT_SW_TEMP_1,48h,065,0.18119599088977956,0.288900133595601,0.33286534870079504,7.155940182729422,99.53615810692978
CHL_SW_TEMP_1,6h,Baseline,0.027755346027572805,0.09928139996467941,0.16408754874278228,2.76988874856848e-17,4.999990482734729
CHL_SW_TEMP_1,6h,095,0.02878803676116303,0.10302228599242105,0.18660100922614323,0.02695766179207231,5.582256772010104
CHL_SW_TEMP_1,6h,080,0.02920433039351616,0.1040078721028852,0.18419008247190008,0.0378247128676193,5.792207643886775
CHL_SW_TEMP_1,6h,065,0.030510753319904695,0.1081541229136321,0.18706294703120438,0.0719279601046243,6.235141169595764
CHL_SW_TEMP_1,12h,Baseline,0.030022582396321218,0.09510066238827206,0.1637073542559348,2.770838097411531e-17,4.999990479472792
CHL_SW_TEMP_1,12h,095,0.03126932343111935,0.1012032801872978,0.18320368037748141,0.034093824137664736,5.948996631637474
CHL_SW_TEMP_1,12h,080,0.031771288849759355,0.10203787802346886,0.1867965683103497,0.0478207491594856,6.107227793846312
CHL_SW_TEMP_1,12h,065,0.03325934944368407,0.10608181024680306,0.18947891593319383,0.08851378386309808,6.790040005255331
CHL_SW_TEMP_1,24h,Baseline,0.031860231001110156,0.09321386417685398,0.14554853743562768,2.7727387487099127e-17,4.999990472942203
CHL_SW_TEMP_1,24h,095,0.03333884537406416,0.10300186721621556,0.16850623636196177,0.04224616175976369,6.4256194016626615
CHL_SW_TEMP_1,24h,080,0.03394889364308409,0.10158811104793476,0.19178799961894852,0.05967612749369024,6.30348252070706
CHL_SW_TEMP_1,24h,065,0.035660384057359495,0.10555055909397708,0.1994700019912836,0.10857589623279267,7.062598485959976
CHL_SW_TEMP_1,48h,Baseline,0.033250198769988734,0.08928124255402385,0.13986271116181756,5.553095769085291e-17,4.9999904598541125
CHL_SW_TEMP_1,48h,095,0.03495535167339675,0.10458607560876973,0.14942888209425811,0.050556556241047566,7.128015401611522
CHL_SW_TEMP_1,48h,080,0.03566798855658549,0.1052674671989207,0.16232317578894145,0.07168572688162057,7.182394233172613
CHL_SW_TEMP_1,48h,065,0.03771601118954417,0.10592028961137356,0.18014384447006493,0.13240812381105185,7.347247954115714
CHL_RWCD_TEMP_1,6h,Baseline,0.024484438991043356,0.08568792013963497,0.12169016097054877,-9.69461061998968e-17,4.999990482734729
CHL_RWCD_TEMP_1,6h,095,0.02660401349209702,0.09321566269802568,0.1297337372748384,0.06751101407073896,6.965686451792196
CHL_RWCD_TEMP_1,6h,080,0.045600012381953756,0.18305803770051135,0.2754733462137356,0.6725565775568741,23.768227942310144
CHL_RWCD_TEMP_1,6h,065,0.09029352487784252,0.3755869639509632,0.5795021160436601,2.0960990619001967,34.10721389673006
CHL_RWCD_TEMP_1,12h,Baseline,0.026288150137273807,0.07998124597606984,0.11855933929142477,5.541676194823062e-17,4.999990479472792
CHL_RWCD_TEMP_1,12h,095,0.02859172425460977,0.08648486109629758,0.12080420501164564,0.07701548641833532,7.4486700775542145
CHL_RWCD_TEMP_1,12h,080,0.04978823426848687,0.17261188766378485,0.24804556858659005,0.7856792610303592,29.977664843168355
CHL_RWCD_TEMP_1,12h,065,0.098224954049307,0.35640490571613936,0.5120391394383481,2.405066067973034,40.43444069758807
CHL_RWCD_TEMP_1,24h,Baseline,0.027646236825001818,0.0751882351826078,0.10136384493890428,8.318216246129738e-17,4.999990472942203
CHL_RWCD_TEMP_1,24h,095,0.030087661037322824,0.08130563965004774,0.10496983551490119,0.0851313902351182,8.225280619487405
